strategy,prob,outcome,amount
MLExpectedValue,0.19253996122616995,0,230.25
SmartHeuristic,0.16255311296846225,0,384.78
MLProbability,0.17550546777598072,0,384.78
MLExpectedValue,0.17550546777598072,0,384.78
SmartHeuristic,0.15955169993663182,0,524.36
MLProbability,0.17211589916193154,0,524.36
MLExpectedValue,0.17211589916193154,0,524.36
SmartHeuristic,0.18759975479269173,1,382.6
MLProbability,0.18759975479269173,1,382.6
MLExpectedValue,0.18759975479269173,1,382.6
SmartHeuristic,0.3800822714262722,0,87.42
MLProbability,0.4082773494096842,0,87.42
MLExpectedValue,0.4082773494096842,0,87.42
SmartHeuristic,0.17184304367468223,0,422.07
MLProbability,0.18597147066650785,0,422.07
MLExpectedValue,0.18597147066650785,0,422.07
SmartHeuristic,0.16187924412271562,0,107.44
MLProbability,0.20232285087450924,0,107.44
MLExpectedValue,0.20232285087450924,0,107.44
SmartHeuristic,0.38300204790279463,0,120.19
MLProbability,0.41122275812059944,0,120.19
MLExpectedValue,0.41122275812059944,0,120.19
SmartHeuristic,0.1981737150887515,0,46.08
MLProbability,0.2154097217926456,0,46.08
MLExpectedValue,0.2154097217926456,0,46.08
SmartHeuristic,0.18664192054875686,1,138.96
MLProbability,0.20255973664235613,0,138.96
MLExpectedValue,0.20255973664235613,0,138.96
SmartHeuristic,0.3795547411983917,0,170.76
MLProbability,0.407744707017381,1,170.76
MLExpectedValue,0.407744707017381,1,170.76
SmartHeuristic,0.378847331038514,1,282.56
MLProbability,0.40703021000454775,1,282.56
MLExpectedValue,0.40703021000454775,1,282.56
SmartHeuristic,0.29047094450010197,0,349.29
MLProbability,0.31561099645071705,0,349.29
MLExpectedValue,0.31561099645071705,0,349.29
SmartHeuristic,0.15086333286022957,0,209.01
MLProbability,0.18394864944837258,0,209.01
MLExpectedValue,0.18394864944837258,0,209.01
SmartHeuristic,0.18835729337125304,1,308.49
MLProbability,0.20447551674800485,0,308.49
MLExpectedValue,0.20447551674800485,0,308.49
SmartHeuristic,0.1765388725904171,0,399.76
MLProbability,0.1765388725904171,0,399.76
MLExpectedValue,0.1765388725904171,0,399.76
SmartHeuristic,0.2483452488080568,0,217.65
MLProbability,0.2704774314150404,0,217.65
MLExpectedValue,0.2704774314150404,0,217.65
SmartHeuristic,0.177604478818831,1,671.95
MLProbability,0.192442192100576,1,671.95
MLExpectedValue,0.192442192100576,1,671.95
SmartHeuristic,0.18841592146419725,0,102.21
MLProbability,0.20454096799427,0,102.21
MLExpectedValue,0.20454096799427,0,102.21
SmartHeuristic,0.19743669524774823,0,42.29
MLProbability,0.21459051946322782,0,42.29
MLExpectedValue,0.21459051946322782,0,42.29
SmartHeuristic,0.15010596365970294,1,95.15
MLProbability,0.18290681328160388,1,95.15
MLExpectedValue,0.18290681328160388,1,95.15
SmartHeuristic,0.2981833645568078,0,338.33
MLProbability,0.32376371490455247,0,338.33
MLExpectedValue,0.32376371490455247,0,338.33
SmartHeuristic,0.17928825469476525,0,725.86
MLProbability,0.19433025027332484,0,725.86
MLExpectedValue,0.19433025027332484,0,725.86
SmartHeuristic,0.19632326723354374,0,67.44
MLProbability,0.21335239612077686,1,67.44
MLExpectedValue,0.21335239612077686,1,67.44
SmartHeuristic,0.32082032066826854,0,41.5
MLProbability,0.32082032066826854,0,41.5
MLExpectedValue,0.32082032066826854,0,41.5
SmartHeuristic,0.3328645059815723,0,607.68
MLProbability,0.36000676612591703,0,607.68
MLExpectedValue,0.36000676612591703,0,607.68
SmartHeuristic,0.37943310541254816,1,189.98
MLProbability,0.40762187156887086,1,189.98
MLExpectedValue,0.40762187156887086,1,189.98
SmartHeuristic,0.37897923507226317,1,261.71
MLProbability,0.4071634555833801,0,261.71
MLExpectedValue,0.4071634555833801,0,261.71
SmartHeuristic,0.16366722462444847,0,374.17
MLProbability,0.1767626653263895,0,374.17
MLExpectedValue,0.1767626653263895,0,374.17
SmartHeuristic,0.19352163880422785,0,408.11
MLProbability,0.21023414205756638,0,408.11
MLExpectedValue,0.21023414205756638,0,408.11
SmartHeuristic,0.17051185734961877,0,66.54
MLProbability,0.18447417724857612,0,66.54
MLExpectedValue,0.18447417724857612,0,66.54
SmartHeuristic,0.14622582803211606,0,804.84
MLProbability,0.15702195170804434,0,804.84
MLExpectedValue,0.15702195170804434,0,804.84
SmartHeuristic,0.28664997952066634,1,355.77
MLProbability,0.3115592657271965,1,355.77
MLExpectedValue,0.3115592657271965,1,355.77
SmartHeuristic,0.37930148066804126,1,210.78
MLProbability,0.4074889398081378,0,210.78
MLExpectedValue,0.4074889398081378,0,210.78
SmartHeuristic,0.20186970613392377,1,108.21
MLProbability,0.2195135137529555,1,108.21
MLExpectedValue,0.2195135137529555,1,108.21
SmartHeuristic,0.3787940663996926,0,290.98
MLProbability,0.40697640101570143,0,290.98
MLExpectedValue,0.40697640101570143,0,290.98
SmartHeuristic,0.18864987238155634,0,42.32
MLProbability,0.20480212877624362,1,42.32
MLExpectedValue,0.20480212877624362,1,42.32
SmartHeuristic,0.3099943912556062,0,342.07
MLProbability,0.33618316938999343,0,342.07
MLExpectedValue,0.33618316938999343,0,342.07
SmartHeuristic,0.18040834639033582,0,647.43
MLProbability,0.19558547094004225,0,647.43
MLExpectedValue,0.19558547094004225,0,647.43
SmartHeuristic,0.19351986646724004,0,32.23
MLProbability,0.2102321681281277,1,32.23
MLExpectedValue,0.2102321681281277,1,32.23
SmartHeuristic,0.38056380323096256,0,11.37
MLProbability,0.40876341894785234,1,11.37
MLExpectedValue,0.40876341894785234,1,11.37
SmartHeuristic,0.311529320179894,0,70.52
MLProbability,0.3377913387761649,0,70.52
MLExpectedValue,0.3377913387761649,0,70.52
SmartHeuristic,0.16352574838922798,0,325.22
MLProbability,0.16352574838922798,0,325.22
MLExpectedValue,0.16352574838922798,0,325.22
SmartHeuristic,0.2299404994533166,0,520.29
MLProbability,0.25043959980235436,1,520.29
MLExpectedValue,0.25043959980235436,1,520.29
SmartHeuristic,0.38051225594503907,1,19.51
MLProbability,0.4087113917711074,0,19.51
MLExpectedValue,0.4087113917711074,0,19.51
SmartHeuristic,0.1911956529845796,0,297.93
MLProbability,0.2076421922634104,0,297.93
MLExpectedValue,0.2076421922634104,0,297.93
SmartHeuristic,0.2709732359707516,0,812.77
MLProbability,0.2709732359707516,0,812.77
MLExpectedValue,0.2709732359707516,0,812.77
SmartHeuristic,0.3214875807480858,0,334.41
MLProbability,0.3481923569369167,0,334.41
MLExpectedValue,0.3481923569369167,0,334.41
SmartHeuristic,0.17695674380473725,0,543.71
MLProbability,0.19171550572262724,0,543.71
MLExpectedValue,0.19171550572262724,0,543.71
SmartHeuristic,0.2581322260179797,1,87.26
MLProbability,0.2810541476283408,1,87.26
MLExpectedValue,0.2810541476283408,1,87.26
SmartHeuristic,0.3766141152103729,0,635.83
MLProbability,0.40477287879750984,0,635.83
MLExpectedValue,0.40477287879750984,0,635.83
SmartHeuristic,0.20051861848851524,0,702.95
MLProbability,0.2180141915829997,0,702.95
MLExpectedValue,0.2180141915829997,0,702.95
SmartHeuristic,0.3829475119576734,0,128.79
MLProbability,0.4111677846868549,0,128.79
MLExpectedValue,0.4111677846868549,0,128.79
SmartHeuristic,0.1728919605245438,0,217.74
MLProbability,0.18715068981653446,0,217.74
MLExpectedValue,0.18715068981653446,0,217.74
SmartHeuristic,0.16986596279436464,0,130.14
MLProbability,0.18374739096627501,0,130.14
MLExpectedValue,0.18374739096627501,0,130.14
SmartHeuristic,0.19178742646668906,0,98.26
MLProbability,0.20830189657440046,0,98.26
MLExpectedValue,0.20830189657440046,0,98.26
SmartHeuristic,0.3788016574511095,0,289.78
MLProbability,0.4069840697375494,1,289.78
MLExpectedValue,0.4069840697375494,1,289.78
SmartHeuristic,0.3776519659641994,0,471.59
MLProbability,0.40582226632371043,0,471.59
MLExpectedValue,0.40582226632371043,0,471.59
SmartHeuristic,0.14198653269264622,1,325.07
MLProbability,0.17168480463397975,0,325.07
MLExpectedValue,0.17168480463397975,0,325.07
SmartHeuristic,0.18749322272156063,0,84.63
MLProbability,0.20351068289451985,0,84.63
MLExpectedValue,0.20351068289451985,0,84.63
SmartHeuristic,0.2839959939721802,0,147.69
MLProbability,0.3087400614846749,0,147.69
MLExpectedValue,0.3087400614846749,0,147.69
SmartHeuristic,0.2907570021549548,0,297.4
MLProbability,0.3159139934776634,0,297.4
MLExpectedValue,0.3159139934776634,0,297.4
SmartHeuristic,0.1565008016902701,1,292.63
MLProbability,0.16866651901473415,0,292.63
MLExpectedValue,0.16866651901473415,0,292.63
SmartHeuristic,0.39167313199368436,1,26.31
MLProbability,0.41994352071447777,1,26.31
MLExpectedValue,0.41994352071447777,1,26.31
SmartHeuristic,0.1835634059788282,0,218.02
MLProbability,0.19911784157322698,0,218.02
MLExpectedValue,0.19911784157322698,0,218.02
SmartHeuristic,0.19699489288716818,0,30.88
MLProbability,0.21409931645410715,0,30.88
MLExpectedValue,0.21409931645410715,0,30.88
SmartHeuristic,0.18811239028758153,0,310.19
MLProbability,0.2042020928875125,0,310.19
MLExpectedValue,0.2042020928875125,0,310.19
SmartHeuristic,0.15435562421451451,0,646.12
MLProbability,0.16374220524898758,1,646.12
MLExpectedValue,0.16374220524898758,1,646.12
SmartHeuristic,0.38002497807127633,0,96.47
MLProbability,0.40821950797515144,0,96.47
MLExpectedValue,0.40821950797515144,0,96.47
SmartHeuristic,0.1582382563374652,0,610.06
MLProbability,0.17063138383014745,0,610.06
MLExpectedValue,0.17063138383014745,0,610.06
SmartHeuristic,0.4277718132814118,1,292.88
MLProbability,0.4277718132814118,1,292.88
MLExpectedValue,0.4277718132814118,1,292.88
SmartHeuristic,0.2816227331244579,0,871.91
MLProbability,0.2816227331244579,0,871.91
MLExpectedValue,0.2816227331244579,0,871.91
SmartHeuristic,0.18648500216462635,0,212.31
MLProbability,0.202384411149501,1,212.31
MLExpectedValue,0.202384411149501,1,212.31
SmartHeuristic,0.4452324229592566,1,695.24
MLProbability,0.4729599417555402,1,695.24
MLExpectedValue,0.4729599417555402,1,695.24
SmartHeuristic,0.37911905885121977,1,239.61
MLProbability,0.40730469138049397,1,239.61
MLExpectedValue,0.40730469138049397,1,239.61
SmartHeuristic,0.15090326612946114,0,532.48
MLProbability,0.1623279686059389,1,532.48
MLExpectedValue,0.1623279686059389,1,532.48
SmartHeuristic,0.2516811541557472,0,217.29
MLProbability,0.27408868494360544,0,217.29
MLExpectedValue,0.27408868494360544,0,217.29
SmartHeuristic,0.1880144521241136,0,131.67
MLProbability,0.20409274057222088,0,131.67
MLExpectedValue,0.20409274057222088,0,131.67
SmartHeuristic,0.1871523901433155,0,150.81
MLProbability,0.20313000019260294,0,150.81
MLExpectedValue,0.20313000019260294,0,150.81
SmartHeuristic,0.16731772173320336,0,325.07
MLProbability,0.18087813968629157,0,325.07
MLExpectedValue,0.18087813968629157,0,325.07
SmartHeuristic,0.16813183622291059,0,941.22
MLProbability,0.18179513322264396,0,941.22
MLExpectedValue,0.18179513322264396,0,941.22
SmartHeuristic,0.1673234102826536,0,452.3
MLProbability,0.1808845481374496,0,452.3
MLExpectedValue,0.1808845481374496,0,452.3
SmartHeuristic,0.46217291837242624,0,851.32
MLProbability,0.4894369152870663,1,851.32
MLExpectedValue,0.4894369152870663,1,851.32
SmartHeuristic,0.3940419139239598,0,344.87
MLProbability,0.42231903702024043,0,344.87
MLExpectedValue,0.42231903702024043,0,344.87
SmartHeuristic,0.28724519862327447,0,240.73
MLProbability,0.31219098377411264,0,240.73
MLExpectedValue,0.31219098377411264,0,240.73
SmartHeuristic,0.3804580506722553,1,28.07
MLProbability,0.40865668034527036,0,28.07
MLExpectedValue,0.40865668034527036,0,28.07
SmartHeuristic,0.3790053008459349,1,257.59
MLProbability,0.40718978536999006,1,257.59
MLExpectedValue,0.40718978536999006,1,257.59
SmartHeuristic,0.19660423173285513,0,20.55
MLProbability,0.21366488777091863,1,20.55
MLExpectedValue,0.21366488777091863,1,20.55
SmartHeuristic,0.31930247012770047,0,299.31
MLProbability,0.31930247012770047,0,299.31
MLExpectedValue,0.31930247012770047,0,299.31
SmartHeuristic,0.25707231006838366,1,662.13
MLProbability,0.27991135576951715,0,662.13
MLExpectedValue,0.27991135576951715,0,662.13
SmartHeuristic,0.39377963311974096,1,386.03
MLProbability,0.42205615428167365,0,386.03
MLExpectedValue,0.42205615428167365,0,386.03
SmartHeuristic,0.37924218973927437,1,220.15
MLProbability,0.4074290571278429,1,220.15
MLExpectedValue,0.4074290571278429,1,220.15
SmartHeuristic,0.14069591499433579,1,74.87
MLProbability,0.17254021155580404,1,74.87
MLExpectedValue,0.17254021155580404,1,74.87
SmartHeuristic,0.19424273190671162,0,130.57
MLProbability,0.21103711984965212,0,130.57
MLExpectedValue,0.21103711984965212,0,130.57
SmartHeuristic,0.18007149315228083,0,205.47
MLProbability,0.1952080439295296,0,205.47
MLExpectedValue,0.1952080439295296,0,205.47
SmartHeuristic,0.17200541351844673,0,586.69
MLProbability,0.18615404471119923,0,586.69
MLExpectedValue,0.18615404471119923,0,586.69
SmartHeuristic,0.15713343391747464,0,264.7
MLProbability,0.16938210010001797,0,264.7
MLExpectedValue,0.16938210010001797,0,264.7
SmartHeuristic,0.3803599030483676,1,43.57
MLProbability,0.40855761228963056,0,43.57
MLExpectedValue,0.40855761228963056,0,43.57
SmartHeuristic,0.17126767287544564,1,318.05
MLProbability,0.18532440555730031,0,318.05
MLExpectedValue,0.18532440555730031,0,318.05
SmartHeuristic,0.2042674809045986,0,691.99
MLProbability,0.22217196557265495,1,691.99
MLExpectedValue,0.22217196557265495,1,691.99
SmartHeuristic,0.3076792103180693,0,338.22
MLProbability,0.3076792103180693,0,338.22
MLExpectedValue,0.3076792103180693,0,338.22
SmartHeuristic,0.18202585784387595,0,290.08
MLProbability,0.19739703389241722,0,290.08
MLExpectedValue,0.19739703389241722,0,290.08
SmartHeuristic,0.4261746483813417,1,48.1
MLProbability,0.4261746483813417,1,48.1
MLExpectedValue,0.4261746483813417,1,48.1
SmartHeuristic,0.18141815420589788,0,252.29
MLProbability,0.19671657568512624,0,252.29
MLExpectedValue,0.19671657568512624,0,252.29
SmartHeuristic,0.3122838924501075,0,120.41
MLProbability,0.3122838924501075,0,120.41
MLExpectedValue,0.3122838924501075,0,120.41
SmartHeuristic,0.14898375234749991,0,624.17
MLProbability,0.16015150128803204,0,624.17
MLExpectedValue,0.16015150128803204,0,624.17
SmartHeuristic,0.35562129128318937,0,227.99
MLProbability,0.383422653435253,0,227.99
MLExpectedValue,0.383422653435253,0,227.99
SmartHeuristic,0.3795675887954008,0,168.73
MLProbability,0.40775768086908554,0,168.73
MLExpectedValue,0.40775768086908554,0,168.73
SmartHeuristic,0.18349713116458063,0,505.18
MLProbability,0.19904369171421782,0,505.18
MLExpectedValue,0.19904369171421782,0,505.18
SmartHeuristic,0.4155565179790189,1,134.19
MLProbability,0.4155565179790189,1,134.19
MLExpectedValue,0.4155565179790189,1,134.19
SmartHeuristic,0.19107888514280616,0,83.35
MLProbability,0.20751199913756252,0,83.35
MLExpectedValue,0.20751199913756252,0,83.35
SmartHeuristic,0.2765241258240938,0,167.83
MLProbability,0.30078130703910044,0,167.83
MLExpectedValue,0.30078130703910044,0,167.83
SmartHeuristic,0.1889394533413904,0,87.5
MLProbability,0.2051253511181586,0,87.5
MLExpectedValue,0.2051253511181586,0,87.5
SmartHeuristic,0.19640887989905326,0,38.98
MLProbability,0.2134476197997388,0,38.98
MLExpectedValue,0.2134476197997388,0,38.98
SmartHeuristic,0.20716842432943097,1,133.38
MLProbability,0.22538416895747568,0,133.38
MLExpectedValue,0.22538416895747568,0,133.38
SmartHeuristic,0.37540239041169793,1,827.73
MLProbability,0.4035469592980924,1,827.73
MLExpectedValue,0.4035469592980924,1,827.73
SmartHeuristic,0.3805807115903804,1,8.7
MLProbability,0.40878048441305037,0,8.7
MLExpectedValue,0.40878048441305037,0,8.7
SmartHeuristic,0.184741847047111,0,423.81
MLProbability,0.2004359440355685,1,423.81
MLExpectedValue,0.2004359440355685,1,423.81
SmartHeuristic,0.37702407750347855,1,570.94
MLProbability,0.40518746667006755,0,570.94
MLExpectedValue,0.40518746667006755,0,570.94
SmartHeuristic,0.37963391691088944,1,158.25
MLProbability,0.4078246594064192,0,158.25
MLExpectedValue,0.4078246594064192,0,158.25
SmartHeuristic,0.1739054945928789,1,290.39
MLProbability,0.18828963923364445,0,290.39
MLExpectedValue,0.18828963923364445,0,290.39
SmartHeuristic,0.18218468386895442,0,316.76
MLProbability,0.19757484457587043,1,316.76
MLExpectedValue,0.19757484457587043,1,316.76
SmartHeuristic,0.3488662555689469,0,50.74
MLProbability,0.3765017648951351,1,50.74
MLExpectedValue,0.3765017648951351,1,50.74
SmartHeuristic,0.27619871966852694,0,229.29
MLProbability,0.3004339670705947,0,229.29
MLExpectedValue,0.3004339670705947,0,229.29
SmartHeuristic,0.365261891760317,0,62.06
MLProbability,0.39325688645961043,0,62.06
MLExpectedValue,0.39325688645961043,0,62.06
